"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","RWA.FA67.NUM.A","OBS_VALUE","Rwanda","Registered mobile money accounts","Number","Annual","Units","9079983","11067077","15923248","15701257","15360011","16628003","18771214","20006989"
"IMF.STA:FAS(4.0.0)","RWA.FA39N_COMBANK.PTKM2_NUM.A","OBS_VALUE","Rwanda","Number of non-branch retail agent outlets, Commercial banks","Per 1,000 square km","Annual","Units","92.25780299959465","147.4665585731658","181.7186866639643","237.6570733684637","294.2034860154033","340.4539927036887","460.3972436157276","444.10214835833"
"IMF.STA:FAS(4.0.0)","RWA.FA38_COMBANK.NUM.A","OBS_VALUE","Rwanda","Non-branch retail agent outlets, Commercial banks","Number","Annual","Units","2276","3638","4483","5863","7258","8399","11358","10956"
"IMF.STA:FAS(4.0.0)","RWA.COMBANK.NUM.A","OBS_VALUE","Rwanda","Commercial banks","Number","Annual","Units","11","11","11","11","11","10","9","10"
"IMF.STA:FAS(4.0.0)","RWA.FA19.NUM.A","OBS_VALUE","Rwanda","Automated teller machines (ATMs) country wide","Number","Annual","Units","406","383","383","334","337","347","345","316"
"IMF.STA:FAS(4.0.0)","RWA.DTMFI.NUM.A","OBS_VALUE","Rwanda","Deposit taking microfinance institutions","Number","Annual","Units","17","17","19","19","19","19","19","22"
"IMF.STA:FAS(4.0.0)","RWA.FA75_S128.NUM.A","OBS_VALUE","Rwanda","Non-life insurance policies, Insurance corporations","Number","Annual","Units","637875","329425","240914","240549","463759","295390","407962","361356"
"IMF.STA:FAS(4.0.0)","RWA.FA64.XDC.A","OBS_VALUE","Rwanda","Outstanding balances on active mobile money accounts","Domestic currency","Annual","Millions","17446","19960.291074","28532.17112204","67151.024398","72314.61988071","118680","119607","197463.510087489"
"IMF.STA:FAS(4.0.0)","RWA.FA21_NDTMFI.NUM.A","OBS_VALUE","Rwanda","Borrowers, Non-deposit taking microfinance institutions","Number","Annual","Units","37","118","","","1423","11446","11448","17184"
"IMF.STA:FAS(4.0.0)","RWA.FA73_S128.NUM.A","OBS_VALUE","Rwanda","Life insurance policies, Insurance corporations","Number","Annual","Units","217302","258248","209473","343608","432556","554420","665023","765193"
